repo,category,labels,note
3D-Vision-World/awesome-NeRF-and-3DGS-SLAM,mapping-map-representation,paper-survey-awesome,
3DOM-FBK/COLMAP_SLAM,visual-inertial-odometry,,
3dv-casia/PanoVLM,mapping-map-representation,lidar-visual-inertial-odometry,
504115681/FI-SLAM,lidar-visual-inertial-odometry,lidar-odometry,
AbangLZU/SC-LeGO-LOAM,place-recognition-loop-closure,lidar-odometry,
aevainc/Doppler-ICP,point-cloud-registration,fmcw-slam,
Alpha-LiDAR/alpha_lidar,lidar-inertial-odometry,tools-engineering-productivity,
amusi/CVPR2026-Papers-with-Code,paper-survey-awesome,,
amusi/ICCV2025-Papers-with-Code,paper-survey-awesome,,
AtsushiSakai/PythonRobotics,mapping-map-representation,,
bairuofei/CGE,multi-robot-slam,mapping-map-representation,
BIT-DYN/MACIM,mapping-map-representation,multi-robot-slam,
BohemianRhapsodyz/semantic_exploration,mapping-map-representation,planning-navigation,
caochao39/mtare_docker,tools-engineering-productivity,,Docker/reproducibility environment rather than a planning algorithm.
CathIAS/TLIO,deep-imu,,
Cc19245/r2live-CC_Comments,lidar-visual-inertial-odometry,,
ChangwuLiu/InGVIO,visual-inertial-odometry,gnss-hd-map-localization,
ChiyunNoh/GaRLIO,radar-slam-perception,,
csiro-robotics/Wild-Places,place-recognition-loop-closure,datasets-benchmarks,
cvg/nice-slam,visual-inertial-odometry,,
David-Willo/APMP,multi-robot-slam,place-recognition-loop-closure,
DongwookKim110/PTS-Map,planning-navigation,,
DoongLi/Awesome-Scene-Change-Detection,mapping-map-representation,paper-survey-awesome,
duanxz0127/Co-viewContext,multi-robot-slam,place-recognition-loop-closure,
efc-robot/MR-GMMExplore,multi-robot-slam,planning-navigation,
EmilioOlivastri/IPC,tools-engineering-productivity,lidar-odometry,
engcang/FAST_LIO_MULTI,lidar-inertial-odometry,multi-lidar-fusion,
Epsilon8854/awesome-Collaborative-SLAM,multi-robot-slam,paper-survey-awesome,
facebookresearch/DABA,visual-inertial-odometry,,
facebookresearch/sam-3d-objects,tools-engineering-productivity,mapping-map-representation,
fracgawd/kitti_motion_compensation,lidar-odometry,,
Fudan-MAGIC-Lab/VINGS-Mono,mapping-map-representation,visual-inertial-odometry,
gaoxiang12/slam_in_autonomous_driving,slam-learning-handbooks,,
ghm0819/ERPoT,mapping-map-representation,,
gisbi-kim/lt-mapper,multi-robot-slam,,
gisbi-kim/removert,point-cloud-perception,,
gisbi-kim/SC-A-LOAM,lidar-odometry,,
gisbi-kim/SC-LeGO-LOAM,lidar-odometry,,
gogojjh/pointcloud_image_converter,tools-engineering-productivity,,
gongjun136/STD_noted,place-recognition-loop-closure,,
Grandzxw/awesome-multi-robot-system,multi-robot-slam,paper-survey-awesome,
haleqiu/AirIMU,deep-imu,,
HengyiWang/Co-SLAM,visual-inertial-odometry,mapping-map-representation,
Hfx-J/MSOL,place-recognition-loop-closure,,
HITSZ-NRSL/Multi-Proxy,multi-robot-slam,,
hku-mars/BALM,lidar-odometry,,
hku-mars/decentralized_loam,multi-lidar-fusion,,
hku-mars/LAMM,multi-robot-slam,place-recognition-loop-closure,
hku-mars/Swarm-LIO2,multi-robot-slam,,
HKUST-3DV/DIM-SLAM,mapping-map-representation,visual-inertial-odometry,
hogyun2/awesome-lidar-place-recognition,place-recognition-loop-closure,paper-survey-awesome,
homtimon/gt_traj_icp_registration,point-cloud-registration,tools-engineering-productivity,
HorizonRobotics/GeoFlowSlam,visual-inertial-odometry,leg,
HuaiyuanXu/3D-Occupancy-Perception,paper-survey-awesome,mapping-map-representation,
Huangying-Zhan/kitti-odom-eval,evaluation-metrics,,
hwan0806/Awesome-LiDAR-Mapping,paper-survey-awesome,,
iit-DLSLab/muse,leg,lidar-odometry,
IMRL/FMCW-LIO,fmcw-slam,,
IMRL/FreeIni,fmcw-slam,,
JanuszBedkowski/gpu_computing_in_robotics,slam-learning-handbooks,,
