repo,current_category,score,description,suggested_manual_category,note
water-cookie/citynav,datasets-benchmarks,7,,,
jiejie567/SelectiveKF,degeneracy-robustness,11,,,
MIT-SPARK/GNC-and-ADAPT,degeneracy-robustness,4,Graduated Non-Convexity (GNC) and Adaptive Trimming (ADAPT) algorithms for outlier robust estimation,,
DCSI2022/CAOM,gnss-hd-map-localization,11,,,
je310/ESKF,lidar-inertial-odometry,11,An implementation of an Error State Kalman Filter (ESKF),,
yjsx/PFilter,lidar-odometry,9,Building Persistent Maps through Feature Filtering for Fast and Accurate LiDAR-based SLAM,,
iandouglas96/cross_view_slam,mapping-map-representation,8,,,
idiap/ESLAM,mapping-map-representation,10,ESLAM is an efficient SLAM system based on Neural Radiance Fields,,
IRMVLab/SNI-SLAM,mapping-map-representation,10,[CVPR 2024 & TPAMI 2025] SNI-SLAM: Semantic Neural Implicit SLAM,,
justimyhxu/GRM,mapping-map-representation,10,Large Gaussian Reconstruction Model for Efficient 3D Reconstruction and Generation,,
StarRealMan/EINRUL,mapping-map-representation,10,[ICRA2023] Efficient Implicit Neural Reconstruction Using LiDAR,,
52CV/CVPR-2022-Papers,paper-survey-awesome,8,,,
rasbt/matplotlib-gallery,paper-survey-awesome,1,Examples of matplotlib codes and plots,,
ZHO-ZHO-ZHO/ZHO-nano-banana-Creation,paper-survey-awesome,1,我的 nano-banana 创意玩法大合集！ 持续更新中！,,
hku-mars/M2Mapping,point-cloud-perception,9,[ICRA 2025] Neural Surface Reconstruction and Rendering for LiDAR-Visual Systems,,
Ilya-Fradlin/Interactive4D,point-cloud-perception,10,[ICRA 2025] Interactive4D: Interactive 4D LiDAR Segmentation,,
NTNU-Math-Chern/FracGM,point-cloud-perception,10,A Fast Fractional Programming Technique for Geman-McClure Robust Estimator (RA-L 2024),,
PRBonn/Mask4D,point-cloud-perception,10,"Mask4D: End-to-End Mask-Based 4D Panoptic Segmentation for LiDAR Sequences, RA-L, 2023",,
youquanl/M3Net,point-cloud-perception,10,Multi-Space Alignments Towards Universal LiDAR Segmentation,,
aharley/simple_bev,radar-slam-perception,9,A Simple Baseline for BEV Perception,,
bit-ivrc/cmake_tutorial,slam-learning-handbooks,11,,,
d2l-ai/d2l-zh,slam-learning-handbooks,6,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,,
Eddie-Wang1120/Professional-CUDA-C-Programming-Code-and-Notes,slam-learning-handbooks,10,CUDA C 编程权威指南代码实现 包含了书上第二章到第八章的大部分代码实现和作者笔记，全由作者本人手动实现，难免有错误的地方，请大家谨慎参考，非常欢迎对错误的指正。 如果有帮助的话请Star一下，对作者帮助很大，谢谢！,,
puttsk/cuda-tutorial,slam-learning-handbooks,11,A set of hands-on tutorials for CUDA programming,,
RealKai42/qwerty-learner,slam-learning-handbooks,6,为键盘工作者设计的单词记忆与英语肌肉记忆锻炼软件 / Words learning and English muscle memory training software designed for keyboard workers,,
rougier/matplotlib-tutorial,slam-learning-handbooks,11,Matplotlib tutorial for beginner,,
teadocs/matplotlib-cn,slam-learning-handbooks,11,matplotlib中文文档,,
Visualize-ML/Book4_Power-of-Matrix,slam-learning-handbooks,6,Book_4_《矩阵力量》 | 鸢尾花书：从加减乘除到机器学习；上架！,,
zheng95z/teach-yourself-research,slam-learning-handbooks,6,"This repo is expected to help you develop basic research skills, including technical writing, paper reading, presentation, note-taking, etc.",,
CHAOZHAO-1/The-Ph.D.-journey-scenery,tools-engineering-productivity,2,收录了若干读博中所遇到的问题和相关资料,,
chenyuntc/pytorch-book,tools-engineering-productivity,10,"PyTorch tutorials and fun projects including neural talk, neural style, poem writing, anime generation (《深度学习框架PyTorch：入门与实战》)",,
Cpp-Club/Cxx_HOPL4_zh,tools-engineering-productivity,3,Chinese translation of Bjarne Stroustrup's HOPL4 paper,,
datalab-to/marker,tools-engineering-productivity,11,Convert PDF to markdown + JSON quickly with high accuracy,,
ethz-asl/voxgraph,tools-engineering-productivity,10,Voxblox-based Pose graph optimization,,
JzHuai0108/cascaded_pgo,tools-engineering-productivity,6,Rotation only PGO + translation only PGO + 6DOF PGO by ceres,,
MLNLP-World/Paper-Picture-Writing-Code,tools-engineering-productivity,10,MLNLP: Paper Picture Writing Code,,
nobleo/rviz_satellite,tools-engineering-productivity,10,Display internet satellite imagery in RViz,,
PKUFlyingPig/cs-self-learning,tools-engineering-productivity,11,计算机自学指南,,
Pupillen/Robotics_Coding,tools-engineering-productivity,5,,,
RayeRen/acad-homepage.github.io,tools-engineering-productivity,11,AcadHomepage: A Modern and Responsive Academic Personal Homepage,,
secdr/research-method,tools-engineering-productivity,10,论文写作与资料分享,,
Taeyoung96/GTSAM-example-supplementary,tools-engineering-productivity,2,A personal study material for the IMU Factor example in Korean,,
versatran01/llol,tools-engineering-productivity,4,LLOL: Low-Latency Odometry for Spinning Lidars,,
WPI-APA-Lab/GroundSeg-Solid-State-Lidar-Parallel-Processing,tools-engineering-productivity,10,ISICAS2024 TCAS-II,,
yuanzhoulvpi2017/vscode_debug_transformers,tools-engineering-productivity,10,,,
ctu-mrs/slam_datasets,uav-aerial-robotics,10,Datasets for laser-based SLAM running on-board UAVs.,,
academicpages/academicpages.github.io,uncategorized,0,"Github Pages template based upon HTML and Markdown for personal, portfolio-based websites.",,
CosmosShadow/gptpdf,uncategorized,0,Using GPT to parse PDF,,
dibingfa/flash-linux0.11-talk,uncategorized,0,你管这破玩意叫操作系统源码 — 像小说一样品读 Linux 0.11 核心代码,,
edward-wq/books,uncategorized,0,,,
fanmingming/live,uncategorized,0,✯ 可直连访问的电视/广播图标库与相关工具项目 ✯ 🔕 永久免费 直连访问 完整开源 不断完善的台标 支持IPv4/IPv6双栈访问 🔕,,
gtbook/robotics,uncategorized,0,"Notebook-based book ""Introduction to Robotics and Perception"" by Frank Dellaert and Seth Hutchinson",,
hugo2046/QuantsPlaybook,uncategorized,0,量化研究-券商金工研报复现,,
kafeiyin00/livox_repub,uncategorized,0,republish livox raw message to standard pointcloud2,,
koide3/rviz_factor_graph_plugins,uncategorized,0,,,
leggedrobotics/cerberus_darpa_subt_datasets,uncategorized,0,Datasets collected by Team CERBERUS during the DARPA Subterranean Challenge,,
leiurayer/downkyi,uncategorized,0,哔哩下载姬downkyi，哔哩哔哩网站视频下载工具，支持批量下载，支持8K、HDR、杜比视界，提供工具箱（音视频提取、去水印等）。,,
linyicheng1/Quaternion-Kinematics-for-the-Error-State-Kalman-Filter,uncategorized,0,Quaternion Kinematics for the Error-State Kalman Filter (中文全文翻译),,
liubonan123/OmniColor,uncategorized,0,,,
netnr/kms,uncategorized,0,KMS 激活服务，slmgr 命令激活 Windows 系统、Office,,
nihalsid/mesh-gpt,uncategorized,0,MeshGPT: Generating Triangle Meshes with Decoder-Only Transformers,,
PetWorm/IMU-Preintegration-Propogation-Doc,uncategorized,0,中文文档：IMU预积分总结与公式推导,,
revolunet/PythonBooks,uncategorized,0,Directory of free Python ebooks,,
shengyp/doing_the_PhD,uncategorized,0,,,
ZHO-ZHO-ZHO/comfyui-portrait-master-zh-cn,uncategorized,0,肖像大师 中文版 comfyui-portrait-master,,
ZJU-FAST-Lab/FastSim,uncategorized,0,,,
zzzzxxxx111/SLslam,uncategorized,0,,,
